"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
10	0.894724616419097	13	13	"Churn"	"No"	0
11	0.878135040521748	13	13	"Churn"	"No"	0
12	0.923593988129902	13	13	"Churn"	"No"	0
13	0.887477197996909	13	13	"Churn"	"No"	0
14	0.897386477045908	13	13	"Churn"	"No"	0
15	0.889630582183774	13	13	"Churn"	"No"	0
16	0.880938315364545	13	13	"Churn"	"No"	0
17	0.883295908183633	13	13	"Churn"	"No"	0
18	0.930393062397373	13	13	"Churn"	"No"	0
19	0.903827814133974	13	13	"Churn"	"No"	0
20	0.907649950835792	13	13	"Churn"	"No"	0
21	0.862422094737755	13	13	"Churn"	"No"	0
22	0.920143384644895	13	13	"Churn"	"No"	0
23	0.89646783089406	13	13	"Churn"	"No"	0
24	0.918094663448646	13	13	"Churn"	"No"	0
25	0.934032393048786	13	13	"Churn"	"No"	0
26	0.873960784313725	13	13	"Churn"	"No"	0
27	0.868916147604672	13	13	"Churn"	"No"	0
28	0.90585616989328	13	13	"Churn"	"No"	0
29	0.896609618088234	13	13	"Churn"	"No"	0
30	0.91527376807464	13	13	"Churn"	"No"	0
1	0.893998579545455	14	14	"Churn"	"No"	0
2	0.882443438914027	14	14	"Churn"	"No"	0
3	0.906452880984431	14	14	"Churn"	"No"	0
4	0.920903838500281	14	14	"Churn"	"No"	0
5	0.875153882575758	14	14	"Churn"	"No"	0
6	0.906279475418309	14	14	"Churn"	"No"	0
7	0.919750822160385	14	14	"Churn"	"No"	0
8	0.901188970402226	14	14	"Churn"	"No"	0
9	0.896702720419535	14	14	"Churn"	"No"	0
10	0.920375010292786	14	14	"Churn"	"No"	0
11	0.88010033444816	14	14	"Churn"	"No"	0
12	0.915453194650817	14	14	"Churn"	"No"	0
13	0.896577602534933	14	14	"Churn"	"No"	0
14	0.884081622928753	13	14	"Churn"	"No"	0
15	0.903170551868867	14	14	"Churn"	"No"	0
16	0.89626996007984	14	14	"Churn"	"No"	0
17	0.874142673757565	14	14	"Churn"	"No"	0
18	0.887128969686034	14	14	"Churn"	"No"	0
19	0.926132124203639	14	14	"Churn"	"No"	0
20	0.92008013967919	14	14	"Churn"	"No"	0
21	0.936428920030677	14	14	"Churn"	"No"	0
22	0.913447208529176	14	14	"Churn"	"No"	0
23	0.905320880295375	14	14	"Churn"	"No"	0
24	0.892737410452765	14	14	"Churn"	"No"	0
25	0.89299834280303	14	14	"Churn"	"No"	0
26	0.865139754938299	14	14	"Churn"	"No"	0
27	0.918656374292193	14	14	"Churn"	"No"	0
28	0.897134839757791	14	14	"Churn"	"No"	0
29	0.896474753694581	14	14	"Churn"	"No"	0
30	0.900414793126285	14	14	"Churn"	"No"	0
1	0.866195001672717	15	15	"Churn"	"No"	0
2	0.923741462180622	14	15	"Churn"	"No"	0
