"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
3	0.307956104252401	13	13	"House"	"Yes"	0.7
4	0.713305898491084	13	13	"House"	"Yes"	0.7
5	0.935528120713306	13	13	"House"	"Yes"	0.7
6	0.792755616689592	13	13	"House"	"Yes"	0.7
7	0.358815426997245	13	13	"House"	"Yes"	0.7
8	0.490041208791209	13	13	"House"	"Yes"	0.7
9	NA	13	13	"House"	"Yes"	0.7
10	0.427197802197802	13	13	"House"	"Yes"	0.7
11	0.999314128943759	13	13	"House"	"Yes"	0.7
12	0.569005043558001	13	13	"House"	"Yes"	0.7
13	0.572314049586777	13	13	"House"	"Yes"	0.7
14	0.547172413793103	13	13	"House"	"Yes"	0.7
15	0.328684573002755	13	13	"House"	"Yes"	0.7
1	0.303155006858711	14	14	"House"	"Yes"	0.7
2	NA	14	14	"House"	"Yes"	0.7
3	0.448832417582418	14	14	"House"	"Yes"	0.7
4	NA	14	14	"House"	"Yes"	0.7
5	0.51407967032967	14	14	"House"	"Yes"	0.7
6	0.49931129476584	14	14	"House"	"Yes"	0.7
7	0.347546996790463	14	14	"House"	"Yes"	0.7
8	0.422971114167813	14	14	"House"	"Yes"	0.7
9	0.486225895316804	14	14	"House"	"Yes"	0.7
10	0.273415977961433	14	14	"House"	"Yes"	0.7
11	0.479338842975207	14	14	"House"	"Yes"	0.7
12	0.534340659340659	14	14	"House"	"Yes"	0.7
13	0.574048601558918	14	14	"House"	"Yes"	0.7
14	0.496790463090326	14	14	"House"	"Yes"	0.7
15	0.507554945054945	14	14	"House"	"Yes"	0.7
1	0.292011019283747	15	15	"House"	"Yes"	0.7
2	0.254120879120879	15	15	"House"	"Yes"	0.7
3	0.224965706447188	15	15	"House"	"Yes"	0.7
4	NA	15	15	"House"	"Yes"	0.7
5	0.288065843621399	15	15	"House"	"Yes"	0.7
6	0.455754241173773	15	15	"House"	"Yes"	0.7
7	0.366116460339294	15	15	"House"	"Yes"	0.7
8	NA	15	15	"House"	"Yes"	0.7
9	0.292297111416781	15	15	"House"	"Yes"	0.7
10	0.757201646090535	15	15	"House"	"Yes"	0.7
11	0.572902338376891	15	15	"House"	"Yes"	0.7
12	0.430631868131868	15	15	"House"	"Yes"	0.7
13	0.395460797799175	15	15	"House"	"Yes"	0.7
14	0.730082417582418	15	15	"House"	"Yes"	0.7
15	NA	15	15	"House"	"Yes"	0.7
1	0.744154057771664	1	1	"House"	"No"	0
2	0.748626373626374	1	1	"House"	"No"	0
3	0.750342935528121	1	1	"House"	"No"	0
4	0.739339752407153	1	1	"House"	"No"	0
5	0.752066115702479	1	1	"House"	"No"	0
6	0.75171939477304	1	1	"House"	"No"	0
7	0.746565934065934	1	1	"House"	"No"	0
8	0.752400548696845	1	1	"House"	"No"	0
9	0.753443526170799	1	1	"House"	"No"	0
10	0.753086419753086	1	1	"House"	"No"	0
11	0.746227709190672	1	1	"House"	"No"	0
12	0.76304945054945	1	1	"House"	"No"	0
13	0.757554945054945	1	1	"House"	"No"	0
14	0.745879120879121	1	1	"House"	"No"	0
15	0.74931129476584	1	1	"House"	"No"	0
1	0.850756533700138	2	2	"House"	"No"	0
2	0.860576923076923	2	2	"House"	"No"	0
3	0.854395604395604	2	2	"House"	"No"	0
4	0.850756533700138	2	2	"House"	"No"	0
5	0.85782967032967	2	2	"House"	"No"	0
6	0.850756533700138	2	2	"House"	"No"	0
7	NA	2	2	"House"	"No"	0
8	0.87997256515775	2	2	"House"	"No"	0
9	0.855862068965517	2	2	"House"	"No"	0
10	0.861454046639232	2	2	"House"	"No"	0
11	0.854395604395604	2	2	"House"	"No"	0
12	0.84228650137741	2	2	"House"	"No"	0
13	0.887517146776406	2	2	"House"	"No"	0
14	0.863823933975241	2	2	"House"	"No"	0
15	0.855371900826446	2	2	"House"	"No"	0
1	NA	3	3	"House"	"No"	0
2	NA	3	3	"House"	"No"	0
3	0.86195054945055	3	3	"House"	"No"	0
4	NA	3	3	"House"	"No"	0
5	0.8707015130674	3	3	"House"	"No"	0
6	0.771694214876033	3	3	"House"	"No"	0
7	0.850068775790922	3	3	"House"	"No"	0
8	NA	3	3	"House"	"No"	0
9	NA	3	3	"House"	"No"	0
10	NA	3	3	"House"	"No"	0
11	0.867445054945055	3	3	"House"	"No"	0
12	0.894628099173554	3	3	"House"	"No"	0
13	0.698532783127006	3	3	"House"	"No"	0
14	0.872077028885832	3	3	"House"	"No"	0
15	0.728275862068966	3	3	"House"	"No"	0
1	0.885459533607682	4	4	"House"	"No"	0
2	0.896291208791209	4	4	"House"	"No"	0
3	0.940247252747253	4	4	"House"	"No"	0
4	0.892857142857143	4	4	"House"	"No"	0
5	0.603708791208791	4	4	"House"	"No"	0
6	0.926510989010989	4	4	"House"	"No"	0
7	0.873626373626374	4	4	"House"	"No"	0
8	0.891483516483517	4	4	"House"	"No"	0
9	0.992455418381344	4	4	"House"	"No"	0
10	0.879871618523613	4	4	"House"	"No"	0
11	0.846153846153846	4	4	"House"	"No"	0
12	0.888257575757576	4	4	"House"	"No"	0
13	0.878600823045268	4	4	"House"	"No"	0
14	0.775137741046832	4	4	"House"	"No"	0
15	0.677197802197802	4	4	"House"	"No"	0
1	0.831275720164609	5	5	"House"	"No"	0
2	0.885144429160935	5	5	"House"	"No"	0
3	0.769628099173554	5	5	"House"	"No"	0
4	0.860385144429161	5	5	"House"	"No"	0
5	0.92529926335175	5	5	"House"	"No"	0
6	0.754241173773498	5	5	"House"	"No"	0
7	0.384087791495199	5	5	"House"	"No"	0
8	0.82716049382716	5	5	"House"	"No"	0
9	0.915865384615385	5	5	"House"	"No"	0
10	NA	5	5	"House"	"No"	0
11	NA	5	5	"House"	"No"	0
12	0.703576341127923	5	5	"House"	"No"	0
13	0.940165061898212	5	5	"House"	"No"	0
14	NA	5	5	"House"	"No"	0
15	0.964285714285714	5	5	"House"	"No"	0
1	0.695741758241758	6	6	"House"	"No"	0
2	0.765432098765432	6	6	"House"	"No"	0
3	0.82716049382716	6	6	"House"	"No"	0
4	0.880658436213992	6	6	"House"	"No"	0
5	0.914266117969822	6	6	"House"	"No"	0
