"rep"	"auc"	"tree_depth"	"maxdepth"	"dataset_name"	"IMPUTED"	"prop_NAs"
6	0.915413699111932	7	7	"Churn"	"Yes"	0.1
7	0.893379219927892	7	7	"Churn"	"Yes"	0.1
8	0.883610007014262	7	7	"Churn"	"Yes"	0.1
9	0.891583087512291	7	7	"Churn"	"Yes"	0.1
10	0.874868350948493	7	7	"Churn"	"Yes"	0.1
11	0.900778280542986	7	7	"Churn"	"Yes"	0.1
12	0.915820037899627	7	7	"Churn"	"Yes"	0.1
13	0.913019607843137	7	7	"Churn"	"Yes"	0.1
14	0.906974753958066	7	7	"Churn"	"Yes"	0.1
15	0.882609309383492	7	7	"Churn"	"Yes"	0.1
16	0.910351086155068	7	7	"Churn"	"Yes"	0.1
17	0.880028993767579	7	7	"Churn"	"Yes"	0.1
18	0.85701888718734	7	7	"Churn"	"Yes"	0.1
19	0.87288312903067	7	7	"Churn"	"Yes"	0.1
20	0.884459640654331	7	7	"Churn"	"Yes"	0.1
21	0.879967746300974	7	7	"Churn"	"Yes"	0.1
22	0.890659645232816	7	7	"Churn"	"Yes"	0.1
23	0.91294655985696	7	7	"Churn"	"Yes"	0.1
24	0.880956277764788	7	7	"Churn"	"Yes"	0.1
25	0.843596179320923	7	7	"Churn"	"Yes"	0.1
26	0.923844214391114	7	7	"Churn"	"Yes"	0.1
27	0.837992607631839	7	7	"Churn"	"Yes"	0.1
28	0.902437888405392	7	7	"Churn"	"Yes"	0.1
29	0.871965418671129	7	7	"Churn"	"Yes"	0.1
30	0.887022514545915	7	7	"Churn"	"Yes"	0.1
1	0.894589047275352	8	8	"Churn"	"Yes"	0.1
2	0.833430165786167	8	8	"Churn"	"Yes"	0.1
3	0.880652875923849	8	8	"Churn"	"Yes"	0.1
4	0.911330316742081	8	8	"Churn"	"Yes"	0.1
5	0.901322296840023	8	8	"Churn"	"Yes"	0.1
6	0.873289272879437	8	8	"Churn"	"Yes"	0.1
7	0.91526353473762	8	8	"Churn"	"Yes"	0.1
8	0.872113209853903	8	8	"Churn"	"Yes"	0.1
9	0.897978883861237	8	8	"Churn"	"Yes"	0.1
10	0.901766471674877	8	8	"Churn"	"Yes"	0.1
11	0.889330195718303	8	8	"Churn"	"Yes"	0.1
